Category,Beverage,Size,Milk,Calories,TotalFat,TotalCarb,Cholesterol,Sugars,Protein
Coffee,Brewed Coffee,Short,No Milk,3,0.1,5,0,0,0.3
Coffee,Brewed Coffee,Tall,No Milk,4,0.1,10,0,0,0.5
Coffee,Brewed Coffee,Grande,No Milk,5,0.1,10,0,0,1
Coffee,Brewed Coffee,Venti,No Milk,5,0.1,10,0,0,1
Classic Espresso Drinks,Caffe Latte,Short,Nonfat Milk,70,0.1,75,10,9,6
Classic Espresso Drinks,Caffe Latte,Short,2% Milk,100,3.5,85,10,9,6
Classic Espresso Drinks,Caffe Latte,Short,Soymilk,70,2.5,65,6,4,5
Classic Espresso Drinks,Caffe Latte,Tall,Nonfat Milk,100,0.2,120,15,14,10
Classic Espresso Drinks,Caffe Latte,Tall,2% Milk,150,6,135,15,14,10
Classic Espresso Drinks,Caffe Latte,Tall,Soymilk,110,4.5,105,10,6,8
Classic Espresso Drinks,Caffe Latte,Grande,Nonfat Milk,130,0.3,150,19,18,13
Classic Espresso Drinks,Caffe Latte,Grande,2% Milk,190,7,170,19,17,12
Classic Espresso Drinks,Caffe Latte,Grande,Soymilk,150,5,130,13,8,10
Classic Espresso Drinks,Caffe Latte,Venti,Nonfat Milk,170,0.4,190,25,23,16
Classic Espresso Drinks,Caffe Latte,Venti,2% Milk,240,9,220,24,22,16
Classic Espresso Drinks,Caffe Latte,Venti,Soymilk,190,7,170,16,11,13
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Short,Nonfat Milk,110,1.5,60,21,17,7
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Short,2% Milk,130,4,70,21,17,6
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Short,Soymilk,110,3.5,55,19,13,6
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Tall,Nonfat Milk,170,2,100,32,27,10
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Tall,2% Milk,200,6,115,32,26,10
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Tall,Soymilk,180,5,85,28,20,9
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Grande,Nonfat Milk,220,2.5,125,43,34,13
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Grande,2% Milk,260,8,140,42,34,13
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Grande,Soymilk,230,7,105,37,26,11
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Venti,Nonfat Milk,280,3,160,54,44,17
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Venti,2% Milk,340,11,180,53,43,17
Classic Espresso Drinks,Caffe Mocha (Without Whipped Cream),Venti,Soymilk,290,9,140,47,33,14
Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Short,Nonfat Milk,100,0.1,70,19,18,6
